Redshift (z),Average divergence,Average radial velocity,Blackhole Masses,Bhmdot,SFR,χ,L_bol,L_edd,E_feed,Log_EQM,Log_ERM,Average divergence of Halo
3.0,-9.89590388656503,-233.42539525216839,7.366657414040407,25.34560452072702,26.90997314453125,0.9437785128844122,45.60027592224686,45.62540583676054,45.60027592224686,8.195438445138826,0.0,-9.932913760241568
2.0,0.5538550057210475,-7.7866250318103445,8.66748848032245,22.378618795723195,0.0,5.092678163174461e-05,42.633290197243035,46.92634396586831,42.633290197243035,8.853114666019284,8.113410777935506,6.2705339878253925
1.5,-1.918578351872921,-105.50847725793284,8.668608187653929,23.573310056760157,0.0,0.000795278345708525,43.82798145827999,46.9274623008836,43.82798145827999,8.853114666019284,8.240226920844707,11.122477331091403
1.0,0.4811434569430351,-126.96901088978112,8.669391035651214,22.926093931051717,0.0,0.00017886260755723177,43.180765332571546,46.928245774725895,43.180765332571546,8.853114666019284,8.298840203582206,-1.9596908479932549
0.7,-3.3187322060286246,-58.702187196503836,8.990917052913856,22.39594552735713,0.0,2.5167746898106746e-05,42.650616928876964,47.249772591100474,42.650616928876964,9.01281778896086,8.506595127553792,-2.322404931601271
0.5,-4.453222958387107,-34.2695444719864,8.991682221014932,22.238811974828963,0.0,1.749627837966072e-05,42.4934833763488,47.25053769629472,42.4934833763488,9.012881131121047,8.512704191741854,-4.426787411938697
0.4,-2.2050028785291054,-44.947628484453325,8.991783486096413,22.327672928337744,0.0,2.1463737429354167e-05,42.58234432985759,47.250638982981634,42.58234432985759,9.012881131121047,8.517367064352234,-2.1302142467596865
0.3,-0.9650238176932336,-40.393357174476186,8.991903853718549,22.219385556610856,0.0,1.672236156666591e-05,42.474056958130696,47.25075934872695,42.474056958130696,9.012881131121047,8.522220788971577,-0.6422435652596951
0.2,-1.4605270234358907,-18.550120466204536,8.992011927389372,22.318617528072142,0.0,2.1009781829697654e-05,42.573288929591975,47.25086738697424,42.573288929591975,9.012881131121047,8.5265724293661,-1.0763225282300115
0.1,-2.126718280399285,-10.568605978591998,8.992171190923822,22.84760072980492,0.0,7.099788857854352e-05,43.10227213132474,47.251026697990504,43.10227213132474,9.012881131121047,8.532265621080281,-2.01090569406005
0.0,-1.3723239656087756,-28.30307981920601,9.00312047677316,22.28978263922271,0.0,1.9163642633924627e-05,42.544454040742544,47.26197597726034,42.544454040742544,9.017650184727836,8.537854567443002,-1.1613946297988296
