Redshift (z),Average divergence,Average radial velocity,Blackhole Masses,Bhmdot,SFR,χ,L_bol,L_edd,E_feed,Log_EQM,Log_ERM,Average divergence of Halo
3.0,-2.734729480905652,-126.64680563018314,8.515736000902672,24.055405878215517,0.0,0.003431562966919867,44.31007727973535,46.77458530741791,44.31007727973535,8.778714654549963,7.779421527229898,-0.5751847116332054
2.0,0.7447755835402607,-45.59284199566698,8.546695276970196,22.901954233313656,0.0,0.00022442694108925474,43.15662563483349,46.80555064470885,43.15662563483349,8.790883985546749,8.296281379254825,9.453220862362032
1.5,1.3776775719467105,150.65979156884126,8.553063723774862,23.431165765951718,0.03534984961152077,0.0007480292078903628,43.68583716747154,46.811918611615155,43.68583716747154,8.79220307305905,8.391452000385659,6.957202137059486
1.0,-1.3826978330595792,20.529851192549827,8.554340524970335,22.411176314170508,0.0,7.122817803564398e-05,42.66584771569035,46.813195880136824,42.66584771569035,8.79220307305905,8.429749306578026,2.3491377237073183
0.7,-2.3500968156285884,-328.5679758650641,8.554557728915372,21.300580358672878,0.0,5.518721906192186e-06,41.55525176019272,46.81341325010085,41.55525176019272,8.79220307305905,8.43550975369787,-1.2267118946260511
0.5,-0.9337581976415962,-3.2081636420329067,8.554719162320612,21.085171325651523,0.0,3.359448921202424e-06,41.33984272717136,46.81357468493314,41.33984272717136,8.79220307305905,8.43975434638908,-0.2859835142147988
0.4,-0.5731828988844901,89.30344839569781,8.698481219875264,22.499468811602892,0.0005703930510208013,6.263304622828579e-05,42.75414021312272,46.957336678509684,42.75414021312272,8.86564201498826,8.464314151876332,2.739816698159963
0.3,2.7935863460177783,83.49756227210514,8.698838582080853,21.94963279628191,0.0,1.764453096369501e-05,42.204304197801754,46.95769407959919,42.204304197801754,8.86564201498826,8.475691883383329,6.321923805343107
0.2,1.5061957798785828,41.563372046254834,8.6990046391601,21.771163950407,0.0,1.169432685577938e-05,42.02583535192685,46.95786012374953,42.02583535192685,8.86564201498826,8.48033551794586,4.154356202083338
0.1,0.0775266170039773,-42.98086071173714,8.699020257488298,21.362796320015523,0.0,4.5665887583668615e-06,41.617467721535355,46.9578758183176,41.617467721535355,8.86564201498826,8.480439673214265,1.0849091599355192
0.0,-1.1139595985954405,-8.270620988864993,8.69908005091109,21.43540967378868,0.0,5.396913895995949e-06,41.690081075308505,46.95793558605414,41.690081075308505,8.86564201498826,8.481355591382345,-0.6442625361153335
