ID,E_feed,L_bol,SFRinhalfrad,Average divergence,Bhmdot,Blackhole Masses,MSFR,UV_Band,λ,Average radial velocity,z
453921,43.91053893051881,43.91053893051881,0.3305326402187347,-0.2406967273827493,23.65586752899897,6.880985026523794,0.0135581092908978,-19.430082321166992,0.0589884301880751,14.657534470947798,0
453928,43.13919971781801,43.13919971781801,0.6358902454376221,-0.410618832770586,22.88452831629817,6.291371274182763,0.0116626722738146,-19.81463050842285,0.0388206663871895,29.41656678309845,0
453943,43.701229077423925,43.701229077423925,1.574105143547058,-1.2164237190630436,23.446557675904103,6.558811656656821,0.0143918646499514,-20.15205764770508,0.0764980955482068,5.478176268351654,0
453957,42.60080923176061,42.60080923176061,0.2394572794437408,-0.0355413996152877,22.346137830240785,6.29121771147667,0.0069542555138468,-19.257383346557614,0.0112405654103382,-67.53019048358615,0
453971,43.853631501952975,43.853631501952975,0.5450096130371094,-1.3667873717804402,23.598960100433143,6.588165150728341,0.0111093437299132,-19.98887062072754,0.101588968399256,18.8722520621054,0
453985,44.06959037314613,44.06959037314613,0.377400666475296,-1.0174170428130629,23.81491897162629,6.914455814043323,0.0149773377925157,-19.818748474121094,0.0787717378715408,8.239691253548626,0
453990,43.55567778840904,43.55567778840904,0.8019160628318787,-0.4153264607086182,23.30100638688922,6.363652668908768,0.0103458538651466,-19.94827461242676,0.0857568956034028,-12.90379252773558,0
454005,43.50627710275563,43.50627710275563,0.7206802368164062,-0.541323044262886,23.2516057012358,6.404500382393639,0.014460408128798,-20.07965469360352,0.069675944738255,-29.533125270871675,0
454014,43.136030381524655,43.136030381524655,0.3243262767791748,-2.721306927532196,22.881358980004816,6.289960407092662,0.004900305531919,-19.513681411743164,0.0386637678773761,31.558129641013053,0
454027,42.70789243858549,42.70789243858549,0.4401325285434723,-2.0377921217498782,22.45322103706566,6.323481677276285,0.0117866890504956,-20.13572692871093,0.0133532263226733,26.25447218657718,0
454042,43.24885440823721,43.24885440823721,0.5370421409606934,-1.4760949297466277,22.99418300671737,6.929945148287728,0.0094783175736665,-19.96440887451172,0.01148366081258,-21.15497156533089,0
454055,41.709770023850325,41.709770023850325,0.0463206432759761,-0.8483996595282555,21.455098622330485,6.089430788110379,0.0023204293102025,-17.430671691894528,0.0022987638778216,28.68217467115888,0
454079,43.40047137264178,43.40047137264178,0.8823889493942261,-0.7736556906585693,23.145799971121946,6.503106780670683,0.0081844720989465,-19.920372009277344,0.0435121004708971,-11.827797985371642,0
454115,43.40471119771204,43.40471119771204,0.3342897593975067,-1.0707573423461914,23.150039796192203,6.390105919515634,0.0061234231106936,-19.50764274597168,0.0570009391478684,-26.869520346518723,0
454127,43.36706425853109,43.36706425853109,0.9527976512908936,-1.2509707106132508,23.11239285701125,6.500571946428435,0.0108974548056721,-19.948768615722656,0.0405257278937844,20.03014248165133,0
454142,43.196244840140345,43.196244840140345,0.1729328632354736,-1.3901329025327709,22.941573438620505,6.353616146962278,0.0090726874768733,-18.70990753173828,0.0383585513848065,2.156411230987199,0
454157,43.50296931901365,43.50296931901365,0.5748347640037537,-2.55129261227794,23.24829791749382,6.560117883525081,0.0062415599822998,-19.65190696716309,0.0483178934229876,-21.185961883400363,0
454170,42.79839015414315,42.79839015414315,0.2046966403722763,-0.8689171691551208,22.543718752623317,6.228701558940482,0.0069011966697871,-18.881282806396484,0.0204588180635192,192.6584398286336,0
454187,43.73796845664756,43.73796845664756,0.7266922593116759,0.6771833515472412,23.48329705512772,6.6476481783740535,0.015358273871243,-19.971725463867188,0.0678613073123485,-6.157972136568963,0
454194,43.55956434592394,43.55956434592394,0.4276018440723419,-2.2142639697125555,23.304892944404106,6.609848926645785,0.0092176971957087,-19.49984741210937,0.0490878280136508,7.317144918339493,0
454209,43.42029201937146,43.42029201937146,0.4716593325138092,-1.1758287425384522,23.16562061785162,7.050129306620902,0.0120146861299872,-19.648794174194336,0.0129215511723157,-4.341024484176231,0
454216,42.8767180008085,42.8767180008085,0.3116790652275085,-1.658630014796734,22.622046599288677,6.277258997759144,0.0078474786132574,-18.934532165527344,0.0219106016831782,-0.702877768646989,0
454238,43.96057436433352,43.96057436433352,0.6578357219696045,0.1878330066757202,23.70590296281369,6.823101084555472,0.0144428825005888,-19.85525321960449,0.0756472749490945,-4.898128189725407,0
454241,43.62074784403379,43.62074784403379,0.5464333295822144,-0.79217032011199,23.36607644251396,6.491704529741665,0.0161486491560935,-19.59976387023925,0.0741924863481547,66.02285983174869,0
454251,44.13002820254224,44.13002820254224,0.9621789455413818,-2.050722308577836,23.875356801022395,7.174313746998067,0.0185628589242696,-20.040102005004886,0.0497608496688091,6.016018404509961,0
454260,43.27448628268982,43.27448628268982,0.3947722017765045,-1.8480920153498053,23.01981488116998,6.383743893015252,0.0082809152081608,-19.791433334350582,0.0428535021020177,-23.087644201338165,0
454274,43.85842539738832,43.85842539738832,0.4100325405597687,-0.9486332570919992,23.603753995868484,6.857926368290509,0.0101819112896919,-19.465723037719727,0.0551787085294668,-87.0839704888002,0
454286,42.16584576179484,42.16584576179484,0.0964167714118957,-1.950377856636048,21.911174360275,6.112318626879811,0.0078186206519603,-17.902511596679688,0.0062330486679968,-1.9096405922252384,0
454303,42.851802976929775,42.851802976929775,0.6681886315345764,0.4905295280070305,22.59713157540993,6.6673503622748855,0.0159488655626773,-20.042858123779297,0.0084257170221656,-11.384419959095144,0
454304,42.97514606663193,42.97514606663193,0.1279025077819824,-3.050799968711436,22.72047466511209,6.3918850681223685,0.0057212854735553,-19.039024353027344,0.0211107399033794,-12.658555007874222,0
454312,42.78084061733089,42.78084061733089,0.0958580002188682,-0.6666440527590514,22.52616921581105,6.295645353440008,0.0063365083187818,-18.58407974243164,0.0168429405145248,-17.87956509859853,0
454322,43.8765036881297,43.8765036881297,0.5145978331565857,0.2767579435768276,23.62183228660987,7.154289138714375,0.0155223840847611,-20.141233444213867,0.0290648064534371,20.740563010732327,0
454326,43.53187334604805,43.53187334604805,0.2430184483528137,-2.0993949868972743,23.27720194452822,6.484690465566543,0.006933385040611,-18.919193267822266,0.0614426472104988,-56.69175303935559,0
454350,43.08053072262511,43.08053072262511,0.7159470319747925,0.0718999636764526,22.825859321105284,6.451399951873037,0.0061145573854446,-19.183305740356445,0.0234586191880032,-133.65506544250357,0
